order_no,order_date,buyer,ship_city,ship_state,sku,description,quantity,item_total,shipping_fee,cod,order_status
406-5208445-6151521,"Tue, 26 Oct, 2021, 9:59 am IST",Saravana,"KOLKATA,",WEST BENGAL,SKU:  86-JXO3-EJ7K,Bright and Colorful Handmade Shantiniketan Leather Ganesh Ji Piggy Coin Bank for Kids/Adults | Home Décor Handicrafts (Green),1,₹549.00,₹47.20,,Delivered to buyer
404-5515061-6165137,"Fri, 15 Oct, 2021, 8:27 pm IST",Arpita,"KOLKATA,",WEST BENGAL,SKU:  0M-RFE6-443C,Set of 2 Pure Leather Block Print Round Jewelry Boxes | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Green),1,₹399.00,₹47.20,,Delivered to buyer
406-4504814-5756357,"Wed, 16 Jun, 2021, 10:35 pm IST",Shamal,"BADLAPUR,",MAHARASHTRA,SKU:  3O-GBSM-TYZE,"Pure Leather Ganesh Piggy Bank | Money Bank for Kids (Red, M)",1,₹175.00,,,Delivered to buyer
403-7364233-8411519,"Thu, 4 Nov, 2021, 7:38 am IST",Salima,"MUMBAI,",MAHARASHTRA,SKU:  0M-RFE6-443C,Set of 2 Pure Leather Block Print Round Jewelry Boxes | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Green),1,₹399.00,₹84.96,,Delivered to buyer
402-0413922-0000337,"Thu, 11 Nov, 2021, 6:16 am IST",Hemant,"Surat,",GUJARAT,SKU:  SB-WDQN-SDN9,Traditional Block-Printed Women's 100% Pure Leather Shoulder Bag: Double Handle Red Handbag | Multi-pocket Shantiniketan Leather Bag for Women,1,"₹1,299.00",₹178.18,Cash On Delivery,Delivered to buyer
171-1070115-6195560,"Wed, 16 Jun, 2021, 4:27 pm IST",soumya,"THANE,",MAHARASHTRA,SKU:  3O-GBSM-TYZE,"Pure Leather Ganesh Piggy Bank | Money Bank for Kids (Red, M)",1,₹175.00,,,Delivered to buyer
407-5532335-4314768,"Sun, 13 Jun, 2021, 7:08 pm IST",Pavithra,"POLLACHI,",TAMIL NADU,SKU:  QV-PHXY-LGY8,"Pure Leather Ganesh Piggy Bank | Money Bank for Kids (Black, M)",1,₹175.00,,,Delivered to buyer
402-6806027-8773139,"Mon, 29 Nov, 2021, 10:34 am IST",Rana,"Pune,",Maharashtra,SKU:  0M-RFE6-443C,Set of 2 Pure Leather Block Print Round Jewelry Boxes | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Green),1,₹399.00,₹84.96,,Delivered to buyer
407-5896934-9005133,"Tue, 26 Oct, 2021, 10:32 am IST",Sumita,"MUMBAI,",MAHARASHTRA,SKU:  H6-A9OJ-C0Q1,100% Pure Leather Shantiniketan Clutch Purse: Traditional Block Print Bi-color Women's Wallets with Multiple Pockets and Zipper Compartments (1 pc) (R,1,₹399.00,₹84.96,,Delivered to buyer
403-3892336-2999521,"Mon, 28 Jun, 2021, 5:15 pm IST",Ajay,"RAIPUR,",CHHATTISGARH,SKU:  3O-GBSM-TYZE,"100% Leather Ganesh Ji Piggy Coin Bank | Block Printed West Bengal Handicrafts (Shantiniketan Art) | Money Bank for Kids | Children's Gift Ideas (Red,",1,₹349.00,,,Delivered to buyer
406-9458224-2717157,"Tue, 9 Nov, 2021, 11:23 pm IST",Pooja,"GURUGRAM,",HARYANA,SKU:  DN-0WDX-VYOT,"Women's Set of 5 Multicolor Pure Leather Single Lipstick Cases with Mirror, Handy and Compact Handcrafted Shantiniketan Block Printed Jewelry Boxes",1,,₹84.96,,Delivered to buyer
